trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",30,0,-50.341611179769664,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",25,0,-155.1273731031118,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490558}",20,0,-19.742524780658684,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",20,11,-43.589769603161436,"{0: 4, 1: 0, 2: 5, 3: 0, 4: 0}",1
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",30,21,-19.4184500847711,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",20,11,-64.81567731804648,"{0: 5, 1: 2, 2: 0, 3: 1, 4: 1}",1
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",30,7,-45.85750221162654,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 1}",1
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",20,11,1.125069034659212,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",30,0,-86.4516485689231,"{0: 23, 1: 0, 2: 3, 3: 4, 4: 0}",0
72,False,"{'a': 0.01, 'e': 0.7518057291408949}",25,0,-54.211402398158285,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",30,0,-165.65923898297697,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",25,0,-98.98566915052697,"{0: 13, 1: 5, 2: 5, 3: 2, 4: 0}",0
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",25,8,-46.24396850539799,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",20,0,-40.20596829987406,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",25,0,-5.472177934984954,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",30,0,-125.41149691692831,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
79,False,"{'a': 0.01, 'e': 0.7038453156522361}",35,14,-46.118613464946776,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 1}",1
80,False,"{'a': 0.01, 'e': 0.6967067093471654}",20,4,-5.705025890741273,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
81,False,"{'a': 0.01, 'e': 0.689498432951747}",25,0,-119.7460312682926,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
82,False,"{'a': 0.01, 'e': 0.6822212072876135}",30,0,-68.88499526487465,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
83,False,"{'a': 0.01, 'e': 0.674875760071267}",25,0,-143.00612297435052,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
